,Unnamed: 0,entire_prompt,prompt,label,max_sim_score,zero_shot_prompts
10,10,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A bird lands in a forest. What would have happened if a meteor had landed in the forest?
A. A big one would have started a wildfire.
B. That is not possible.
C. The bird would have liked the meteor.
Answer:",What would have happened if a meteor had landed in the forest?,A,tensor(0.6870),"A bird lands in a forest. What would have happened if a meteor had landed in the forest?
A. A big one would have started a wildfire.
B. That is not possible.
C. The bird would have liked the meteor.
Answer:"
11,11,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A woman drives on a highway. What would have happened if a child had driven on the highway?
A. The child would have probably died.
B. It would have been dangerous and illegal.
C. The child wouldn't be driving.
D. The woman would have been a licensed driver.
Answer:",What would have happened if a child had driven on the highway?,B,tensor(0.5757),"A woman drives on a highway. What would have happened if a child had driven on the highway?
A. The child would have probably died.
B. It would have been dangerous and illegal.
C. The child wouldn't be driving.
D. The woman would have been a licensed driver.
Answer:"
12,12,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A pebble falls from a skyscraper. What would have happened if a man had fallen from the skyscraper?
A. The man would have died.
B. The man would have landed joyfully.
C. The whole city would be destroyed.
D. Pebbles don't fall from skyscrapers.
Answer:",What would have happened if a man had fallen from the skyscraper?,A,tensor(0.6286),"A pebble falls from a skyscraper. What would have happened if a man had fallen from the skyscraper?
A. The man would have died.
B. The man would have landed joyfully.
C. The whole city would be destroyed.
D. Pebbles don't fall from skyscrapers.
Answer:"
13,13,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A pebble falls from a skyscraper. What would have happened if a laptop had fallen from a skyscraper?
A. The pebble would have bounced off the concrete and fallen to the ground.
B. The laptop would have hit the pebble.
C. That is not possible.
D. The laptop would have been crushed.
Answer:",What would have happened if a laptop had fallen from a skyscraper?,D,tensor(0.4979),"A pebble falls from a skyscraper. What would have happened if a laptop had fallen from a skyscraper?
A. The pebble would have bounced off the concrete and fallen to the ground.
B. The laptop would have hit the pebble.
C. That is not possible.
D. The laptop would have been crushed.
Answer:"
14,14,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A mother bears a child. What would have happened if the child had born a mother?
A. The baby would've been fine.
B. The child would have had a healthy baby.
C. That is not possible.
Answer:",What would have happened if the child had born a mother?,C,tensor(0.4750),"A mother bears a child. What would have happened if the child had born a mother?
A. The baby would've been fine.
B. The child would have had a healthy baby.
C. That is not possible.
Answer:"
15,15,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A mother bears a child. What would have happened if the mother had born a stroller?
A. The child would have ridden in the perambulator.
B. That is not possible.
C. The mother would have had a healthy perambulator.
Answer:",What would have happened if the mother had born a stroller?,B,tensor(0.3969),"A mother bears a child. What would have happened if the mother had born a stroller?
A. The child would have ridden in the perambulator.
B. That is not possible.
C. The mother would have had a healthy perambulator.
Answer:"
16,16,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A man catches a ball. What would have happened if the man had caught a water balloon?
A. He would have remained dry.
B. He would have got wet.
C. He would have died.
D. He would have caught the ball and not the balloon.
Answer:",What would have happened if the man had caught a water balloon?,B,tensor(0.5342),"A man catches a ball. What would have happened if the man had caught a water balloon?
A. He would have remained dry.
B. He would have got wet.
C. He would have died.
D. He would have caught the ball and not the balloon.
Answer:"
17,17,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A man catches a ball. What would have happened if the man had caught a refrigerator?
A. That man would have been a refrigerator.
B. He would have got hurt.
C. Everything would have been fine.
D. He would have thrown it back.
Answer:",What would have happened if the man had caught a refrigerator?,B,tensor(0.5328),"A man catches a ball. What would have happened if the man had caught a refrigerator?
A. That man would have been a refrigerator.
B. He would have got hurt.
C. Everything would have been fine.
D. He would have thrown it back.
Answer:"
18,18,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A mortician prepares a corpse. What would have happened if the mortician had prepared a dinner?
A. The mortician would have killed the corpse.
B. He would have had a delicious dish.
C. The dinner would have been buried.
D. Morticians cannot prepare dinners.
Answer:",What would have happened if the mortician had prepared a dinner?,B,tensor(0.5033),"A mortician prepares a corpse. What would have happened if the mortician had prepared a dinner?
A. The mortician would have killed the corpse.
B. He would have had a delicious dish.
C. The dinner would have been buried.
D. Morticians cannot prepare dinners.
Answer:"
19,19,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A family starts a trip. What would have happened if the family had ended the trip?
A. That is not possible.
B. The family would have used their car.
C. The journey would have come to an end.
D. The journey would have begun.
Answer:",What would have happened if the family had ended the trip?,C,tensor(0.6144),"A family starts a trip. What would have happened if the family had ended the trip?
A. That is not possible.
B. The family would have used their car.
C. The journey would have come to an end.
D. The journey would have begun.
Answer:"
20,20,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A president rides a horse. What would have happened if the president had ridden a garden hose?
A. They would have been faster.
B. There are no garden horses.
C. Nothing special would have happened.
D. It would have looked silly.
Answer:",What would have happened if the president had ridden a garden hose?,D,tensor(0.4523),"A president rides a horse. What would have happened if the president had ridden a garden hose?
A. They would have been faster.
B. There are no garden horses.
C. Nothing special would have happened.
D. It would have looked silly.
Answer:"
21,21,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A president rides a horse. What would have happened if the president had ridden a motorcycle?
A. That is not possible.
B. The horse would have died.
C. She or he would have been faster.
D. She or he would have enjoyed riding the horse.
Answer:",What would have happened if the president had ridden a motorcycle?,C,tensor(0.4572),"A president rides a horse. What would have happened if the president had ridden a motorcycle?
A. That is not possible.
B. The horse would have died.
C. She or he would have been faster.
D. She or he would have enjoyed riding the horse.
Answer:"
22,22,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A man mounts a horse. What would have happened if the horse had mounted the man?
A. That would have been an exceptionally painful experience for the man.
B. The horse would have died.
C. Nothing special would have happened.
Answer:",What would have happened if the horse had mounted the man?,A,tensor(0.4857),"A man mounts a horse. What would have happened if the horse had mounted the man?
A. That would have been an exceptionally painful experience for the man.
B. The horse would have died.
C. Nothing special would have happened.
Answer:"
23,23,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A plant grows in a planter. What would have happened if the planter grows in the plant?
A. The planter would have cultivated the plant.
B. It would have grown quicker.
C. The plant would have suffered.
D. That is not possible.
Answer:",What would have happened if the planter grows in the plant?,D,tensor(0.6240),"A plant grows in a planter. What would have happened if the planter grows in the plant?
A. The planter would have cultivated the plant.
B. It would have grown quicker.
C. The plant would have suffered.
D. That is not possible.
Answer:"
24,24,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A woman swallows potassium cyanide. What would have happened if the woman had distributed potassium cyanide?
A. She would have been vomiting.
B. She would have survived.
C. She would have died.
Answer:",What would have happened if the woman had distributed potassium cyanide?,B,tensor(0.4468),"A woman swallows potassium cyanide. What would have happened if the woman had distributed potassium cyanide?
A. She would have been vomiting.
B. She would have survived.
C. She would have died.
Answer:"
25,25,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A woman swallows potassium cyanide. What would have happened if the woman had watched potassium cyanide?
A. Nothing special would have happened.
B. She would have died.
C. That is not possible.
Answer:",What would have happened if the woman had watched potassium cyanide?,A,tensor(0.4314),"A woman swallows potassium cyanide. What would have happened if the woman had watched potassium cyanide?
A. Nothing special would have happened.
B. She would have died.
C. That is not possible.
Answer:"
26,26,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A student counts numbers. What would have happened if the student had drunk numbers?
A. It would have been tasty.
B. The student would have had a stomachache.
C. That is not possible.
D. The student would have improved his or her counting skills.
Answer:",What would have happened if the student had drunk numbers?,C,tensor(0.5433),"A student counts numbers. What would have happened if the student had drunk numbers?
A. It would have been tasty.
B. The student would have had a stomachache.
C. That is not possible.
D. The student would have improved his or her counting skills.
Answer:"
27,27,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A prince rescues a princess. What would have happened if the prince had beaten the princess?
A. The princess would have been happy.
B. That would have been a case of domestic abuse.
C. That would have been a great fight.
D. The king would have had a bad time at the coronation.
Answer:",What would have happened if the prince had beaten the princess?,B,tensor(0.5582),"A prince rescues a princess. What would have happened if the prince had beaten the princess?
A. The princess would have been happy.
B. That would have been a case of domestic abuse.
C. That would have been a great fight.
D. The king would have had a bad time at the coronation.
Answer:"
28,28,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

An oil tanker sails across an ocean. What would have happened if the oil tanker had broken up in an ocean?
A. That is not possible.
B. The oil tanker would have been saved.
C. There would have been environmental pollution.
D. The oil tanker would have continued to carry oil.
Answer:",What would have happened if the oil tanker had broken up in an ocean?,C,tensor(0.5699),"An oil tanker sails across an ocean. What would have happened if the oil tanker had broken up in an ocean?
A. That is not possible.
B. The oil tanker would have been saved.
C. There would have been environmental pollution.
D. The oil tanker would have continued to carry oil.
Answer:"
29,29,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A bus unloads a family. What would have happened if the bus had run over the family?
A. The bus would have been faster than the family.
B. Buses do not unload families.
C. The family would have been hurt.
D. The bus would have successfully unloaded the family.
Answer:",What would have happened if the bus had run over the family?,C,tensor(0.5167),"A bus unloads a family. What would have happened if the bus had run over the family?
A. The bus would have been faster than the family.
B. Buses do not unload families.
C. The family would have been hurt.
D. The bus would have successfully unloaded the family.
Answer:"
30,30,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A man reports a crime. What would have happened if the man had committed the crime?
A. That is not possible.
B. That would have been highly unlikely.
C. The police would try to catch him.
D. He would have been innocent.
Answer:",What would have happened if the man had committed the crime?,C,tensor(0.5392),"A man reports a crime. What would have happened if the man had committed the crime?
A. That is not possible.
B. That would have been highly unlikely.
C. The police would try to catch him.
D. He would have been innocent.
Answer:"
31,31,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A man reports a crime. What would have happened if the man had cleared up the crime?
A. The room would have been clean by now.
B. That is not possible.
C. He would have been a detective.
D. He would have been the owner of the crime scene.
Answer:",What would have happened if the man had cleared up the crime?,C,tensor(0.5146),"A man reports a crime. What would have happened if the man had cleared up the crime?
A. The room would have been clean by now.
B. That is not possible.
C. He would have been a detective.
D. He would have been the owner of the crime scene.
Answer:"
32,32,"A feather falls from a skyscraper. What would have happened if a computer had fallen from the skyscraper?
A. The computer would have remained intact.
B. That is not possible.
C. The computer would have been crushed.
Answer: C

A lightning hits a tree. What would have happened if a marble would have hit the tree?
A. It would have burned down.
B. Nothing special would have happened.
C. The tree would have kissed the lightning.
Answer: B

A man drinks a beer. What would have happened if the man had drunk a rainbow?
A. It would have been tasty.
B. It would have been awful.
C. That is not possible.
Answer: C

A woman dates a man. What would have happened if the woman had cheated on the man?
A. The man would have been very happy and marry her.
B. The man would be embarrassed having been caught cheating.
C. That is not possible.
D. Their relationship would be put in jeopardy.
Answer:",What would have happened if the woman had cheated on the man?,D,tensor(0.4737),"A woman dates a man. What would have happened if the woman had cheated on the man?
A. The man would have been very happy and marry her.
B. The man would be embarrassed having been caught cheating.
C. That is not possible.
D. Their relationship would be put in jeopardy.
Answer:"
